标题,导演,评分,出版时间,短句
['肖申克的救赎'],弗兰克·德拉邦特,9.7,1994,希望让人自由。
['霸王别姬'],陈凯歌,9.6,1993,风华绝代。
['泰坦尼克号'],詹姆斯·卡梅隆,9.5,1997,失去的才是永恒的。 
['阿甘正传'],罗伯特·泽米吉斯,9.5,1994,一部美国近现代史。
['千与千寻'],宫崎骏,9.4,2001,最好的宫崎骏，最好的久石让。 
['美丽人生'],罗伯托·贝尼尼,9.5,1997,最美的谎言。
['这个杀手不太冷'],吕克·贝松,9.4,1994,怪蜀黍和小萝莉不得不说的故事。
['星际穿越'],克里斯托弗·诺兰,9.4,2014,爱是一种力量，让我们超越时空感知它的存在。
['盗梦空间'],克里斯托弗·诺兰,9.4,2010,诺兰给了我们一场无法盗取的梦。
['楚门的世界'],彼得·威尔,9.4,1998,如果再也不能见到你，祝你早安，午安，晚安。
['辛德勒的名单'],史蒂文·斯皮尔伯格,9.5,1993,拯救一个人，就是拯救整个世界。
['忠犬八公的故事'],莱塞·霍尔斯道姆,9.4,2009,永远都不能忘记你所爱的人。
['海上钢琴师'],朱塞佩·托纳多雷,9.3,1998,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
['三傻大闹宝莱坞'],拉库马·希拉尼,9.2,2009,英俊版憨豆，高情商版谢耳朵。
['放牛班的春天'],克里斯托夫·巴拉蒂,9.3,2004,天籁一般的童声，是最接近上帝的存在。 
['机器人总动员'],安德鲁·斯坦顿,9.3,2008,小瓦力，大人生。
['疯狂动物城'],拜伦·霍华德,9.2,2016,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
['无间道'],刘伟强,9.3,2002,香港电影史上永不过时的杰作。
['控方证人'],比利·怀尔德,9.6,1957,比利·怀德满分作品。
['大话西游之大圣娶亲'],刘镇伟,9.2,1995,一生所爱。
['熔炉'],黄东赫,9.3,2011,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
['触不可及'],奥利维·那卡什,9.3,2011,满满温情的高雅喜剧。
['教父'],弗朗西斯·福特·科波拉,9.3,1972,千万不要记恨你的对手，这样会让你失去理智。
['寻梦环游记'],李·昂克里奇,9.1,2017,死亡不是真的逝去，遗忘才是永恒的消亡。
['当幸福来敲门'],加布里尔·穆奇诺,9.2,2006,平民励志片。 
['末代皇帝'],贝纳尔多·贝托鲁奇,9.3,1987,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
['龙猫'],宫崎骏,9.2,1988,人人心中都有个龙猫，童年就永远不会消失。
['哈利·波特与魔法石'],Chris,9.2,2001,童话世界的开端。
['怦然心动'],罗伯·莱纳,9.1,2010,真正的幸福是来自内心深处。
['活着'],张艺谋,9.3,1994,张艺谋最好的电影。
['蝙蝠侠：黑暗骑士'],克里斯托弗·诺兰,9.2,2008,无尽的黑暗。
['指环王3：王者无敌'],彼得·杰克逊,9.3,2003,史诗的终章。
['我不是药神'],文牧野,9.0,2018,对我们国家而言，这样的电影多一部是一部。
['乱世佳人'],维克多·弗莱明,9.3,1939,Tomorrow is another day.
['飞屋环游记'],彼特·道格特,9.1,2009,最后那些最无聊的事情，才是最值得怀念的。 
['让子弹飞'],姜文,9.0,2010,你给我翻译翻译，神马叫做TMD的惊喜。
['哈尔的移动城堡'],宫崎骏,9.1,2004,带着心爱的人在天空飞翔。
['素媛'],李濬益,9.3,2013,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
['十二怒汉'],Sidney,9.4,1957,1957年的理想主义。 
['海蒂和爷爷'],阿兰·葛斯彭纳,9.3,2015,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
['猫鼠游戏'],史蒂文·斯皮尔伯格,9.1,2002,骗子大师和执著警探的你追我跑故事。 
['天空之城'],宫崎骏,9.2,1986,对天空的追逐，永不停止。 
['摔跤吧！爸爸'],涅提·蒂瓦里,9.0,2016,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
['鬼子来了'],姜文,9.3,2000,对敌人的仁慈，就是对自己残忍。
['少年派的奇幻漂流'],李安,9.1,2012,瑰丽壮观、无人能及的冒险之旅。
